Exercício: 2023
Escopo: Capitais
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";11478468619,5
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";236578768,51
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";236578768,51
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"02 - Judiciária";"siconfi-cor_TotalDespesas";54522585,86
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"02.122 - Administração Geral";"siconfi-cor_TotalDespesas";53102658,35
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"FU02 - Demais Subfunções";"siconfi-cor_TotalDespesas";1419927,51
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"03 - Essencial à Justiça";"siconfi-cor_TotalDespesas";431899,69
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"FU03 - Demais Subfunções";"siconfi-cor_TotalDespesas";431899,69
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";1007808743,56
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"04.121 - Planejamento e Orçamento";"siconfi-cor_TotalDespesas";632002,57
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";947932400,06
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"04.124 - Controle Interno";"siconfi-cor_TotalDespesas";2761999,94
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"04.125 - Normatização e Fiscalização";"siconfi-cor_TotalDespesas";875249,9
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"04.126 - Tecnologia da Informação";"siconfi-cor_TotalDespesas";41968079,08
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;"Despesas Empenhadas";"04.128 - Formação de Recursos Humanos";"siconfi-cor_TotalDespesas";1954370,4
