Exercício: 2024
Escopo: Capitais
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";3291918600,79
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";47508010,12
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";47508010,12
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"03 - Essencial à Justiça";"siconfi-cor_TotalDespesas";16519789,44
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"03.092 - Representação Judicial e Extrajudicial";"siconfi-cor_TotalDespesas";2724563,81
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"03.122 - Administração Geral";"siconfi-cor_TotalDespesas";13795225,63
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";210452209,34
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";125812759,71
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"04.123 - Administração Financeira";"siconfi-cor_TotalDespesas";42597747,63
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"04.124 - Controle Interno";"siconfi-cor_TotalDespesas";2031022,79
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"04.126 - Tecnologia da Informação";"siconfi-cor_TotalDespesas";31569711,87
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"04.129 - Administração de Receitas";"siconfi-cor_TotalDespesas";8440967,34
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"06 - Segurança Pública";"siconfi-cor_TotalDespesas";76842715,85
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"06.181 - Policiamento";"siconfi-cor_TotalDespesas";16011835,75
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"06.182 - Defesa Civil";"siconfi-cor_TotalDespesas";597230,5
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"06.122 - Administração Geral";"siconfi-cor_TotalDespesas";59432249,4
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"FU06 - Demais Subfunções";"siconfi-cor_TotalDespesas";801400,2
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";113113234,88
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";66338014,6
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"08.122 - Administração Geral";"siconfi-cor_TotalDespesas";30996245,08
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"FU08 - Demais Subfunções";"siconfi-cor_TotalDespesas";15778975,2
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"09 - Previdência Social";"siconfi-cor_TotalDespesas";407289200,87
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"09.272 - Previdência do Regime Estatutário";"siconfi-cor_TotalDespesas";401650567,02
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"09.122 - Administração Geral";"siconfi-cor_TotalDespesas";5638633,85
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"10 - Saúde";"siconfi-cor_TotalDespesas";503003429,15
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";161628272,64
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"10.302 - Assistência Hospitalar e Ambulatorial";"siconfi-cor_TotalDespesas";144264420,52
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"10.303 - Suporte Profilático e Terapêutico";"siconfi-cor_TotalDespesas";28708504,97
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"10.304 - Vigilância Sanitária";"siconfi-cor_TotalDespesas";7333882,48
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"10.305 - Vigilância Epidemiológica";"siconfi-cor_TotalDespesas";26969891,27
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"10.122 - Administração Geral";"siconfi-cor_TotalDespesas";119005725,62
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"FU10 - Demais Subfunções";"siconfi-cor_TotalDespesas";15092731,65
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"11 - Trabalho";"siconfi-cor_TotalDespesas";66319,08
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"11.334 - Fomento ao Trabalho";"siconfi-cor_TotalDespesas";66319,08
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"12 - Educação";"siconfi-cor_TotalDespesas";805765334,24
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"12.361 - Ensino Fundamental";"siconfi-cor_TotalDespesas";417363662,41
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"12.365 - Educação Infantil";"siconfi-cor_TotalDespesas";330335518,84
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"12.366 - Educação de Jovens e Adultos";"siconfi-cor_TotalDespesas";1159733,63
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"12.367 - Educação Especial";"siconfi-cor_TotalDespesas";5714180,94
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"12.122 - Administração Geral";"siconfi-cor_TotalDespesas";51192238,42
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"13 - Cultura";"siconfi-cor_TotalDespesas";29709444,12
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"13.391 - Patrimônio Histórico, Artístico e Arqueológico";"siconfi-cor_TotalDespesas";406202,08
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"13.392 - Difusão Cultural";"siconfi-cor_TotalDespesas";22029140,14
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"13.122 - Administração Geral";"siconfi-cor_TotalDespesas";7274101,9
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"14 - Direitos da Cidadania";"siconfi-cor_TotalDespesas";13187042,3
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"14.422 - Direitos Individuais, Coletivos e Difusos";"siconfi-cor_TotalDespesas";13126242,3
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"FU14 - Demais Subfunções";"siconfi-cor_TotalDespesas";60800,00
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"15 - Urbanismo";"siconfi-cor_TotalDespesas";703218498,58
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"15.451 - Infraestrutura Urbana";"siconfi-cor_TotalDespesas";467971485,99
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"15.452 - Serviços Urbanos";"siconfi-cor_TotalDespesas";184782700,55
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"15.122 - Administração Geral";"siconfi-cor_TotalDespesas";50464312,04
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"16 - Habitação";"siconfi-cor_TotalDespesas";13808446,63
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"16.482 - Habitação Urbana";"siconfi-cor_TotalDespesas";13808446,63
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"17 - Saneamento";"siconfi-cor_TotalDespesas";58030136,88
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"17.512 - Saneamento Básico Urbano";"siconfi-cor_TotalDespesas";58030136,88
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"18 - Gestão Ambiental";"siconfi-cor_TotalDespesas";97962556,15
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"18.541 - Preservação e Conservação Ambiental";"siconfi-cor_TotalDespesas";76924488,04
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"18.542 - Controle Ambiental";"siconfi-cor_TotalDespesas";415171,12
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"18.543 - Recuperação de Áreas Degradadas";"siconfi-cor_TotalDespesas";3765314,56
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"18.122 - Administração Geral";"siconfi-cor_TotalDespesas";16857582,43
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"19 - Ciência e Tecnologia";"siconfi-cor_TotalDespesas";2264194,84
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"19.571 - Desenvolvimento Científico";"siconfi-cor_TotalDespesas";478240,00
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"19.572 - Desenvolvimento Tecnológico e Engenharia";"siconfi-cor_TotalDespesas";1583754,84
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"19.573 - Difusão do Conhecimento Científico e Tecnológico";"siconfi-cor_TotalDespesas";202200,00
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"23 - Comércio e Serviços";"siconfi-cor_TotalDespesas";15739115,51
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"23.691 - Promoção Comercial";"siconfi-cor_TotalDespesas";1098904,45
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"23.695 - Turismo";"siconfi-cor_TotalDespesas";14640211,06
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"24 - Comunicações";"siconfi-cor_TotalDespesas";9937871,45
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"FU24 - Demais Subfunções";"siconfi-cor_TotalDespesas";9937871,45
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"27 - Desporto e Lazer";"siconfi-cor_TotalDespesas";20119950,33
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"27.811 - Desporto de Rendimento";"siconfi-cor_TotalDespesas";806400,00
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"27.812 - Desporto Comunitário";"siconfi-cor_TotalDespesas";735473,57
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"27.813 - Lazer";"siconfi-cor_TotalDespesas";3341294,82
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"27.122 - Administração Geral";"siconfi-cor_TotalDespesas";15236781,94
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"28 - Encargos Especiais";"siconfi-cor_TotalDespesas";147381101,03
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"28.843 - Serviço da Dívida Interna";"siconfi-cor_TotalDespesas";50039073,3
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"28.844 - Serviço da Dívida Externa";"siconfi-cor_TotalDespesas";32888204,94
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"28.846 - Outros Encargos Especiais";"siconfi-cor_TotalDespesas";64453822,79
Prefeitura Municipal de Vitória - ES;3205309;ES;331785;"Despesas Empenhadas";"Despesas Intraorçamentárias";"siconfi-cor_TotalDespesas";141486626,5
