Exercício: 2021
Escopo: Capitais
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";1705973062,02
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";39135684,95
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";2162,88
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"01.122 - Administração Geral";"siconfi-cor_TotalDespesas";38085472,31
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"FU01 - Demais Subfunções";"siconfi-cor_TotalDespesas";1048049,76
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";363619648,09
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";332184328,61
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"04.126 - Tecnologia da Informação";"siconfi-cor_TotalDespesas";8173315,71
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"04.129 - Administração de Receitas";"siconfi-cor_TotalDespesas";74400,00
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"FU04 - Demais Subfunções";"siconfi-cor_TotalDespesas";23187603,77
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";10947803,34
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"08.241 - Assistência ao Idoso";"siconfi-cor_TotalDespesas";38321,00
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"08.243 - Assistência à Criança e ao Adolescente";"siconfi-cor_TotalDespesas";1056,5
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";7761098,43
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"08.122 - Administração Geral";"siconfi-cor_TotalDespesas";3133261,91
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"FU08 - Demais Subfunções";"siconfi-cor_TotalDespesas";14065,5
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"09 - Previdência Social";"siconfi-cor_TotalDespesas";138429616,58
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"09.272 - Previdência do Regime Estatutário";"siconfi-cor_TotalDespesas";127571942,9
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"09.122 - Administração Geral";"siconfi-cor_TotalDespesas";10191122,58
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"FU09 - Demais Subfunções";"siconfi-cor_TotalDespesas";666551,1
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"10 - Saúde";"siconfi-cor_TotalDespesas";447278729,19
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";40070957,81
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"10.302 - Assistência Hospitalar e Ambulatorial";"siconfi-cor_TotalDespesas";111358060,04
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"10.303 - Suporte Profilático e Terapêutico";"siconfi-cor_TotalDespesas";8049390,5
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"10.304 - Vigilância Sanitária";"siconfi-cor_TotalDespesas";174275,87
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"10.305 - Vigilância Epidemiológica";"siconfi-cor_TotalDespesas";10134976,99
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"10.122 - Administração Geral";"siconfi-cor_TotalDespesas";254235425,31
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"FU10 - Demais Subfunções";"siconfi-cor_TotalDespesas";23255642,67
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"11 - Trabalho";"siconfi-cor_TotalDespesas";16399,04
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"11.334 - Fomento ao Trabalho";"siconfi-cor_TotalDespesas";16399,04
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"Despesas Empenhadas";"12 - Educação";"siconfi-cor_TotalDespesas";384963181,12
