Exercício: 2025
Escopo: Capitais
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";2648928364,26
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";62928365,06
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"01.122 - Administração Geral";"siconfi-cor_TotalDespesas";62226685,41
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"FU01 - Demais Subfunções";"siconfi-cor_TotalDespesas";701679,65
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";517918842,02
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";476893151,47
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"04.124 - Controle Interno";"siconfi-cor_TotalDespesas";60697,00
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"04.125 - Normatização e Fiscalização";"siconfi-cor_TotalDespesas";113926,23
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"04.126 - Tecnologia da Informação";"siconfi-cor_TotalDespesas";1688075,96
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"04.127 - Ordenamento Territorial";"siconfi-cor_TotalDespesas";168250,00
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"04.131 - Comunicação Social";"siconfi-cor_TotalDespesas";5434103,35
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"FU04 - Demais Subfunções";"siconfi-cor_TotalDespesas";33560638,01
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"06 - Segurança Pública";"siconfi-cor_TotalDespesas";534086,48
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"06.181 - Policiamento";"siconfi-cor_TotalDespesas";200000,00
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"06.182 - Defesa Civil";"siconfi-cor_TotalDespesas";334086,48
Prefeitura Municipal de Porto Velho - RO;1100205;RO;461748;"Despesas Empenhadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";21340958,59
