Exercício: 2022
Escopo: Capitais
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";8737808125,27
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";220577454,77
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";220577454,77
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"02 - Judiciária";"siconfi-cor_TotalDespesas";57146471,9
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"02.122 - Administração Geral";"siconfi-cor_TotalDespesas";56737983,24
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"FU02 - Demais Subfunções";"siconfi-cor_TotalDespesas";408488,66
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";431354257,34
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"04.121 - Planejamento e Orçamento";"siconfi-cor_TotalDespesas";90000,00
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";394359425,05
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"04.124 - Controle Interno";"siconfi-cor_TotalDespesas";2117926,75
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"04.126 - Tecnologia da Informação";"siconfi-cor_TotalDespesas";34748625,54
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"04.130 - Administração de Concessões";"siconfi-cor_TotalDespesas";38280,00
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"06 - Segurança Pública";"siconfi-cor_TotalDespesas";87953787,83
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"06.181 - Policiamento";"siconfi-cor_TotalDespesas";1856808,74
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"06.122 - Administração Geral";"siconfi-cor_TotalDespesas";85192469,74
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"FU06 - Demais Subfunções";"siconfi-cor_TotalDespesas";904509,35
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";261809982,76
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"08.241 - Assistência ao Idoso";"siconfi-cor_TotalDespesas";1034849,9
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"08.242 - Assistência ao Portador de Deficiência";"siconfi-cor_TotalDespesas";4704387,08
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"08.243 - Assistência à Criança e ao Adolescente";"siconfi-cor_TotalDespesas";36650192,99
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";95846540,16
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"08.122 - Administração Geral";"siconfi-cor_TotalDespesas";118069524,91
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"FU08 - Demais Subfunções";"siconfi-cor_TotalDespesas";5504487,72
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"09 - Previdência Social";"siconfi-cor_TotalDespesas";577643897,53
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"09.272 - Previdência do Regime Estatutário";"siconfi-cor_TotalDespesas";497550205,46
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"09.274 - Previdência Especial";"siconfi-cor_TotalDespesas";73685032,23
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"09.122 - Administração Geral";"siconfi-cor_TotalDespesas";5411932,13
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"FU09 - Demais Subfunções";"siconfi-cor_TotalDespesas";996727,71
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"10 - Saúde";"siconfi-cor_TotalDespesas";2062540212,62
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";107828593,15
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"10.302 - Assistência Hospitalar e Ambulatorial";"siconfi-cor_TotalDespesas";951043372,3
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"10.303 - Suporte Profilático e Terapêutico";"siconfi-cor_TotalDespesas";37880670,97
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"10.304 - Vigilância Sanitária";"siconfi-cor_TotalDespesas";4582862,14
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"10.305 - Vigilância Epidemiológica";"siconfi-cor_TotalDespesas";710545,22
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"10.122 - Administração Geral";"siconfi-cor_TotalDespesas";890631419,8
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"FU10 - Demais Subfunções";"siconfi-cor_TotalDespesas";69862749,04
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"11 - Trabalho";"siconfi-cor_TotalDespesas";40752580,76
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"11.333 - Empregabilidade";"siconfi-cor_TotalDespesas";4202609,93
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"11.334 - Fomento ao Trabalho";"siconfi-cor_TotalDespesas";27230442,23
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"11.122 - Administração Geral";"siconfi-cor_TotalDespesas";8792737,94
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"FU11 - Demais Subfunções";"siconfi-cor_TotalDespesas";526790,66
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"12 - Educação";"siconfi-cor_TotalDespesas";1734723617,93
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"12.361 - Ensino Fundamental";"siconfi-cor_TotalDespesas";1315955859,43
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"12.365 - Educação Infantil";"siconfi-cor_TotalDespesas";391381322,68
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"12.366 - Educação de Jovens e Adultos";"siconfi-cor_TotalDespesas";985411,77
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"12.367 - Educação Especial";"siconfi-cor_TotalDespesas";3731329,33
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"Despesas Empenhadas";"12.122 - Administração Geral";"siconfi-cor_TotalDespesas";3942314,81
